Source,Target,Interaction
BARX2,L1CAM,+
BARX2,PAX1,?
BCL6,BCL6,-
BCL6,CCND2,-
BCL6,CDKN1A,-
BCL6,CDKN2B,-
BCL6,IRF4,-
BCL6,MYCB,+
BCL6,STAT3,?
BHLHE41,CCND1,-
BHLHE41,MLH1,-
BMI1B,CDK1,?
BMI1B,CDKN2D,-
BMI1B,DKK1,?
BMI1B,IKZF1,-
BMI1B,NFKB1,+
BMI1B,PTEN,?
BPTF,ABCG2,?
BPTF,BCR,?
BPTF,TGFBR1,?
BPTF,ADAM10,?
BPTF,AP1S2,?
BPTF,APRT,?
BPTF,AREL1,?
BPTF,ARHGAP35,?
BPTF,ARID1B,?
BPTF,ATP10D,?
BPTF,ATP1A1,?
BPTF,ATP5F1A,?
BPTF,ATP6V0B,?
BPTF,ATP9B,?
BPTF,BRD2,?
BPTF,CAMTA2,?
BPTF,CASK,?
BPTF,UBE2R2,?
BPTF,CELSR2,?
BPTF,CHD5,?
BPTF,CHST1,?
BPTF,CLASP1B,?
BPTF,CLK2,?
BPTF,CNOT6L,?
BPTF,CSDE1,?
BPTF,CSK,?
BPTF,CTBP1,?
BPTF,CYTH4,?
BPTF,DAAM2,?
BPTF,DCHS1,?
BPTF,DENND4A,?
BPTF,DMD,?
BPTF,DMXL1,?
BPTF,DPH6,?
BPTF,EIF4G2,?
BPTF,EPB41,?
BPTF,FAM20B,?
BPTF,FAT4,?
BPTF,FBXL14,?
BPTF,FNBP1,?
BPTF,FOXO1B,?
BPTF,FYNA,?
BPTF,FURIN,?
BPTF,FXR1,?
BPTF,FZD5,?
BPTF,GALNT1,?
BPTF,GPC5,?
BPTF,GSK3B,?
BPTF,HDC,?
BPTF,HNRNPDL,?
BPTF,INSR,?
BPTF,INO80,?
BPTF,KAG9259417.1,?
BPTF,KAG9260001.1,?
BPTF,KAG9262278.1,?
BPTF,KAG9262992.1,?
BPTF,KAG9266470.1,?
BPTF,KAG9268936.1,?
BPTF,KAG9277335.1,?
BPTF,KAG9278225.1,?
BPTF,KAG9280552.1,?
BPTF,KALRN,?
BPTF,KIF13B,?
BPTF,KIF2A,?
BPTF,LAMA1,?
BPTF,LIMK1,?
BPTF,LMLN,?
BPTF,LONRF2,?
BPTF,LRP5,?
BPTF,MACF1,?
BPTF,MAP2K4,?
BPTF,MAP4K3,?
BPTF,MAP4K4,?
BPTF,MARK1,?
BPTF,MED13,?
BPTF,MEN1,?
BPTF,MROH1,?
BPTF,MRPL40,?
BPTF,MYO15A,?
BPTF,MYO18A,?
BPTF,MYO6,?
BPTF,NCKIPSD,?
BPTF,NEDD4L,?
BPTF,NR4A1,?
BPTF,NRF1,?
BPTF,PDE11A,?
BPTF,PDIA6,?
BPTF,PIK3C2B,?
BPTF,PKN2,?
BPTF,PLCB1,?
BPTF,PLCB4,?
BPTF,PPIL1,?
BPTF,PPP2R2A,?
BPTF,PPP2R5B,?
BPTF,PPP3CC,?
BPTF,PPP4R3B,?
BPTF,PRKACA,?
BPTF,PRKG1,?
BPTF,PSMA5,?
BPTF,PSMC4,?
BPTF,PTPN11,?
BPTF,PTPRB,?
BPTF,PTPRD,?
BPTF,QKI-B,?
BPTF,RAB35,?
BPTF,RFX3,?
BPTF,RNF7,?
BPTF,ROCK1,?
BPTF,SCYL1,?
BPTF,SH3GL3,?
BPTF,SIN3A,?
