,Source,Target,Interaction
4945,KAG9266117.1,KAG9271864.1,?
4946,KAG9266117.1,KAG9267447.1,?
5277,KAG9265048.1,KAG9275137.1,?
5280,KAG9265048.1,KAG9270239.1,?
5281,KAG9265048.1,KAG9267847.1,?
5292,KAG9265048.1,KAG9268765.1,?
5302,KAG9265048.1,KAG9277268.1,?
5303,KAG9265048.1,KAG9272545.1,?
5317,KAG9265048.1,KAG9270720.1,?
5318,KAG9265048.1,KAG9272194.1,?
5319,KAG9265048.1,KAG9272231.1,?
5320,KAG9265048.1,KAG9276139.1,?
5324,KAG9265048.1,KAG9270506.1,?
5325,KAG9265048.1,KAG9265048.1,?
5326,KAG9265048.1,KAG9268760.1,?
5329,KAG9265048.1,KAG9277462.1,?
5331,KAG9265048.1,KAG9262476.1,?
5338,KAG9265048.1,KAG9282482.1,?
5339,KAG9265048.1,KAG9274501.1,?
5340,KAG9265048.1,KAG9272637.1,?
5343,KAG9265048.1,KAG9260860.1,?
5345,KAG9265048.1,KAG9275414.1,?
5353,KAG9265048.1,KAG9282321.1,?
5355,KAG9265048.1,KAG9278562.1,?
5356,KAG9265048.1,KAG9260863.1,?
5358,KAG9265048.1,KAG9270429.1,?
5359,KAG9265048.1,KAG9260309.1,?
5360,KAG9265048.1,KAG9283030.1,?
5362,KAG9265048.1,KAG9262416.1,?
5363,KAG9265048.1,KAG9272007.1,?
5364,KAG9265048.1,KAG9268012.1,?
5367,KAG9265048.1,KAG9282016.1,?
5370,KAG9265048.1,KAG9271436.1,?
5373,KAG9265048.1,KAG9277004.1,?
5383,KAG9265048.1,KAG9275426.1,?
5388,KAG9265048.1,KAG9280709.1,?
5389,KAG9265048.1,KAG9260118.1,?
5392,KAG9265048.1,KAG9263486.1,?
5393,KAG9265048.1,KAG9273768.1,?
5395,KAG9265048.1,KAG9261681.1,?
5396,KAG9265048.1,KAG9277408.1,?
5398,KAG9265048.1,KAG9269909.1,?
5400,KAG9265048.1,KAG9271877.1,?
5401,KAG9265048.1,KAG9260364.1,?
5403,KAG9265048.1,KAG9278912.1,?
5407,KAG9265048.1,KAG9267447.1,?
5411,KAG9265048.1,KAG9262279.1,?
5414,KAG9265048.1,KAG9272469.1,?
5416,KAG9265048.1,KAG9266944.1,?
5647,KAG9273987.1,KAG9267847.1,?
5649,KAG9273987.1,KAG9271608.1,?
5653,KAG9273987.1,KAG9266330.1,?
5663,KAG9273987.1,KAG9279147.1,?
5664,KAG9273987.1,KAG9270506.1,?
5669,KAG9273987.1,KAG9272230.1,?
5671,KAG9273987.1,KAG9273889.1,?
5672,KAG9273987.1,KAG9260309.1,?
5674,KAG9273987.1,KAG9277408.1,?
5679,KAG9273987.1,KAG9272469.1,?
5935,KAG9277462.1,KAG9279911.1,?
5941,KAG9277462.1,KAG9266214.1,?
5943,KAG9277462.1,KAG9266679.1,?
5945,KAG9277462.1,KAG9273919.1,?
5946,KAG9277462.1,KAG9268876.1,?
5947,KAG9277462.1,KAG9261253.1,?
5948,KAG9277462.1,KAG9272066.1,?
5950,KAG9277462.1,KAG9275966.1,?
5953,KAG9277462.1,KAG9276696.1,?
5954,KAG9277462.1,KAG9278225.1,?
5956,KAG9277462.1,KAG9266062.1,?
5961,KAG9277462.1,KAG9271005.1,?
5963,KAG9277462.1,KAG9276623.1,?
5965,KAG9277462.1,KAG9268818.1,?
5968,KAG9277462.1,KAG9269430.1,?
5969,KAG9277462.1,KAG9274165.1,?
5971,KAG9277462.1,KAG9271096.1,?
5994,KAG9277462.1,KAG9268765.1,?
6000,KAG9277462.1,KAG9260703.1,?
6001,KAG9277462.1,KAG9280924.1,?
6009,KAG9277462.1,KAG9272091.1,?
6010,KAG9277462.1,KAG9278931.1,?
6014,KAG9277462.1,KAG9262404.1,?
6022,KAG9277462.1,KAG9275167.1,?
6030,KAG9277462.1,KAG9282721.1,?
6035,KAG9277462.1,KAG9268807.1,?
6042,KAG9277462.1,KAG9272545.1,?
6047,KAG9277462.1,KAG9262278.1,?
6056,KAG9277462.1,KAG9266309.1,?
6064,KAG9277462.1,KAG9267036.1,?
6068,KAG9277462.1,KAG9270846.1,?
6070,KAG9277462.1,KAG9283039.1,?
6071,KAG9277462.1,KAG9279307.1,?
6075,KAG9277462.1,KAG9273183.1,?
6079,KAG9277462.1,KAG9272399.1,?
6080,KAG9277462.1,KAG9262974.1,?
6081,KAG9277462.1,KAG9272194.1,?
6083,KAG9277462.1,KAG9263702.1,?
6085,KAG9277462.1,KAG9276139.1,?
6087,KAG9277462.1,KAG9277690.1,?
6088,KAG9277462.1,KAG9277157.1,?
6089,KAG9277462.1,KAG9268869.1,?
6091,KAG9277462.1,KAG9266577.1,?
6092,KAG9277462.1,KAG9266470.1,?
6093,KAG9277462.1,KAG9278789.1,?
6095,KAG9277462.1,KAG9279393.1,?
6097,KAG9277462.1,KAG9264637.1,?
6099,KAG9277462.1,KAG9269236.1,?
6101,KAG9277462.1,KAG9280163.1,?
6104,KAG9277462.1,KAG9269814.1,?
