Source,Target,Interaction
AC,DPR8,?
AC,DPR,?
AC,DRM,?
AC,DSX-C73A,?
AC,DSX,?
AC,E5,?
AC,EAP,?
AC,EIF5B,?
AC,EIF6,?
AC,FEM-1,?
AC,FILI,?
AC,FJ,?
AC,FK506-BP1,?
AC,FKBP13,?
AC,FNG,?
AC,GK,?
AC,GP150,?
AC,GRANNY-SMITH,?
AC,GSB-N,?
AC,GV1,?
AC,GYCBETA100B,?
AC,H15,?
AC,H,?
ACHI,ACHI,?
ACHI,ANT2,?
ACHI,B52,?
ACHI,BEST1,?
ACHI,BUN,?
ACHI,CENB1A,?
ACHI,CG10283,?
ACHI,CG10737,?
ACHI,CG11266,?
ACHI,CG11486,?
ACHI,CG11771,?
ACHI,CG12007,?
ACHI,CG12082,?
ACHI,CG12419,?
ACHI,CG12703,?
ACHI,CG1316,?
ACHI,CG13250,?
ACHI,CG1399,?
ACHI,CG14177,?
ACHI,CG14309,?
ACHI,CG14414,?
ACHI,CG14471,?
ACHI,CG14668,?
ACHI,CG14961,?
ACHI,CG15196,?
ACHI,CG15365,?
ACHI,CG17834,?
ACHI,CG18130,?
ACHI,CG18317,?
ACHI,CG18659,?
ACHI,CG2162,?
ACHI,CG2765,?
ACHI,CG2865,?
ACHI,CG30115,?
ACHI,CG30281,?
ACHI,CG3123,?
ACHI,CG32043,?
ACHI,CG32137,?
ACHI,CG32982,?
ACHI,CG33111,?
ACHI,CG33691,?
ACHI,CG33692,?
ACHI,CG34104,?
ACHI,CG34141,?
ACHI,CG34171,?
ACHI,CG3655,?
ACHI,CG4042,?
ACHI,CG42238,?
ACHI,CG42327,?
ACHI,CG42668,?
ACHI,CG42674,?
ACHI,CG42678,?
ACHI,CG4452,?
ACHI,CG4702,?
ACHI,CG5050,?
ACHI,CG5070,?
ACHI,CG5509,?
ACHI,CG6340,?
ACHI,CG7639,?
ACHI,CG8079,?
ACHI,CG8219,?
ACHI,CG8671,?
ACHI,CG8964,?
ACHI,CG9418,?
ACHI,CG9467,?
ACHI,CG9590,?
ACHI,CG9630,?
ACHI,CG,?
ACHI,DIF,?
ACHI,DL,?
ACHI,DPPIII,?
ACHI,DRPR,?
ACHI,FBP1,?
ACHI,FL(2)D,?
ACHI,FPS85D,?
ACHI,GISH,?
ACHI,GPP,?
ACHI,HLHM3,?
ACHI,HLHM7,?
ACHI,HLHMBETA,?
ACHI,HMGS,?
ACHI,HMGZ,?
ACHI,HPPY,?
ACHI,KEN,?
ACHI,KIBRA,?
ACHI,KLP98A,?
ACHI,M2,?
ACHI,MAGI,?
ACHI,MALPHA,?
ACHI,MBL,?
ACHI,MLD,?
ACHI,MLF,?
ACHI,NEDD4,?
ACHI,NUF,?
ACHI,OCHO,?
ACHI,OPA1-LIKE,?
ACHI,PABP2,?
ACHI,PAR-1,?
ACHI,PCF11,?
ACHI,PHKGAMMA,?
ACHI,PIF1A,?
ACHI,PIP,?
ACHI,PITSLRE,?
ACHI,PRBP,?
ACHI,PROM,?
ACHI,PSC,?
ACHI,PSR,?
ACHI,PTP4E,?
ACHI,QKR58E-1,?
ACHI,RAW,?
ACHI,RGL,?
ACHI,RN-TRE,?
ACHI,SBR,?
ACHI,SCAF6,?
ACHI,SHN,?
ACHI,SIMJ,?
ACHI,SKIP,?
ACHI,SNX6,?
ACHI,SPIN,?
ACHI,SPRT,?
ACHI,SPZ3,?
ACHI,SQZ,?
ACHI,SSADH,?
ACHI,TBPH,?
ACHI,TMHS,?
ACHI,TRA,?
ACHI,TWDLX,?
ACHI,YURI,?
AC,HOIP,?
AC,HYX,?
AC,IDH,?
AC,INX2,?
AC,KNRL,?
AC,KZ,?
AC,L(1)G0020,?
AC,L(1)G0045,?
AC,L(2)09851,?
AC,L(2)34FD,?
AC,L(2)K01209,?
AC,L(2)K09022,?
AC,L(3)07882,?
AC,LEA,?
AC,LPIN,?
AC,MAT89BA,?
AC,MBM,?
AC,MESR3,?
AC,MICAL-LIKE,?
AC,MID,?
AC,MMS4,?
